Area,Economic activity,Time period,Hourly wage for temporary employees (€),Hourly wage for permanent employees (€)
Italy,TOTAL,2014,10.05,11.69
Italy,TOTAL,2015,10.33,11.7
Italy,TOTAL,2016,10.24,11.81
Italy,TOTAL,2017,10.25,12.03
Italy,TOTAL,2018,10.27,12.1
Italy,TOTAL,2019,10.33,12.21
Italy,TOTAL,2020,10.42,12.49
Italy,TOTAL,2021,10.44,12.61
Italy,TOTAL INDUSTRY (b to f),2014,10.24,12.42
Italy,TOTAL INDUSTRY (b to f),2015,10.58,12.58
Italy,TOTAL INDUSTRY (b to f),2016,10.44,12.65
Italy,TOTAL INDUSTRY (b to f),2017,10.39,12.86
Italy,TOTAL INDUSTRY (b to f),2018,10.35,12.94
Italy,TOTAL INDUSTRY (b to f),2019,10.41,13.06
Italy,TOTAL INDUSTRY (b to f),2020,10.49,13.24
Italy,TOTAL INDUSTRY (b to f),2021,10.59,13.38
Italy,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2014,10.12,13.0
Italy,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2015,10.41,13.13
Italy,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2016,10.25,13.21
Italy,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2017,10.2,13.42
Italy,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2018,10.2,13.49
Italy,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2019,10.3,13.64
Italy,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2020,10.34,13.78
Italy,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2021,10.4,13.98
Italy,Mining and quarrying,2014,11.48,17.38
Italy,Mining and quarrying,2015,11.61,16.16
Italy,Mining and quarrying,2016,11.49,16.83
Italy,Mining and quarrying,2017,11.53,17.23
Italy,Mining and quarrying,2018,11.58,17.63
Italy,Mining and quarrying,2019,11.98,18.54
Italy,Mining and quarrying,2020,12.08,18.33
Italy,Mining and quarrying,2021,12.23,18.56
Italy,Manufacturing,2014,10.07,12.74
Italy,Manufacturing,2015,10.36,12.89
Italy,Manufacturing,2016,10.21,12.96
Italy,Manufacturing,2017,10.18,13.17
Italy,Manufacturing,2018,10.18,13.25
Italy,Manufacturing,2019,10.27,13.39
Italy,Manufacturing,2020,10.32,13.55
Italy,Manufacturing,2021,10.39,13.76
Italy,"Electricity, gas, steam and air conditioning supply",2014,10.74,20.3
Italy,"Electricity, gas, steam and air conditioning supply",2015,11.03,20.42
Italy,"Electricity, gas, steam and air conditioning supply",2016,10.05,20.4
Italy,"Electricity, gas, steam and air conditioning supply",2017,10.43,20.75
Italy,"Electricity, gas, steam and air conditioning supply",2018,10.8,20.73
Italy,"Electricity, gas, steam and air conditioning supply",2019,10.68,20.8
Italy,"Electricity, gas, steam and air conditioning supply",2020,10.78,20.84
Italy,"Electricity, gas, steam and air conditioning supply",2021,10.85,21.09
Italy,"Water supply sewerage, waste management and remediation activities",2014,10.88,15.01
Italy,"Water supply sewerage, waste management and remediation activities",2015,11.19,15.09
Italy,"Water supply sewerage, waste management and remediation activities",2016,10.98,15.05
Italy,"Water supply sewerage, waste management and remediation activities",2017,10.61,15.06
Italy,"Water supply sewerage, waste management and remediation activities",2018,10.44,15.05
Italy,"Water supply sewerage, waste management and remediation activities",2019,10.59,15.17
Italy,"Water supply sewerage, waste management and remediation activities",2020,10.46,15.08
Italy,"Water supply sewerage, waste management and remediation activities",2021,10.39,15.17
Italy,Construction,2014,10.45,11.06
Italy,Construction,2015,10.81,11.35
Italy,Construction,2016,10.74,11.33
Italy,Construction,2017,10.71,11.47
Italy,Construction,2018,10.61,11.54
Italy,Construction,2019,10.61,11.62
Italy,Construction,2020,10.72,11.86
Italy,Construction,2021,10.85,11.94
Italy,"Services (g to s, except o)",2014,10.02,11.22
Italy,"Services (g to s, except o)",2015,10.29,11.16
Italy,"Services (g to s, except o)",2016,10.2,11.31
Italy,"Services (g to s, except o)",2017,10.23,11.55
Italy,"Services (g to s, except o)",2018,10.25,11.62
Italy,"Services (g to s, except o)",2019,10.32,11.73
Italy,"Services (g to s, except o)",2020,10.41,12.08
Italy,"Services (g to s, except o)",2021,10.41,12.16
Italy,Wholesale and retail trade repair of motor vehicles and motorcycles,2014,10.01,11.51
Italy,Wholesale and retail trade repair of motor vehicles and motorcycles,2015,10.15,11.47
Italy,Wholesale and retail trade repair of motor vehicles and motorcycles,2016,10.2,11.65
Italy,Wholesale and retail trade repair of motor vehicles and motorcycles,2017,10.37,11.9
Italy,Wholesale and retail trade repair of motor vehicles and motorcycles,2018,10.51,12.05
Italy,Wholesale and retail trade repair of motor vehicles and motorcycles,2019,10.52,12.2
Italy,Wholesale and retail trade repair of motor vehicles and motorcycles,2020,10.51,12.35
Italy,Wholesale and retail trade repair of motor vehicles and motorcycles,2021,10.44,12.36
Italy,Transportation and storage,2014,10.28,12.81
Italy,Transportation and storage,2015,10.4,12.73
Italy,Transportation and storage,2016,10.4,12.85
Italy,Transportation and storage,2017,10.41,13.0
Italy,Transportation and storage,2018,10.58,13.03
Italy,Transportation and storage,2019,10.82,13.02
Italy,Transportation and storage,2020,10.97,13.33
Italy,Transportation and storage,2021,10.89,13.31
Italy,Accommodation and food service activities,2014,10.08,9.82
Italy,Accommodation and food service activities,2015,10.22,9.73
Italy,Accommodation and food service activities,2016,10.14,9.79
Italy,Accommodation and food service activities,2017,10.13,9.91
Italy,Accommodation and food service activities,2018,10.19,9.99
Italy,Accommodation and food service activities,2019,10.27,10.09
Italy,Accommodation and food service activities,2020,10.39,10.53
Italy,Accommodation and food service activities,2021,10.34,10.55
Italy,Information and communication,2014,12.66,15.45
Italy,Information and communication,2015,14.2,15.26
Italy,Information and communication,2016,13.14,15.17
Italy,Information and communication,2017,14.09,15.47
Italy,Information and communication,2018,13.85,15.49
Italy,Information and communication,2019,14.56,15.38
Italy,Information and communication,2020,15.3,15.0
Italy,Information and communication,2021,15.36,15.77
Italy,Financial and insurance activities,2014,13.19,22.53
Italy,Financial and insurance activities,2015,13.75,22.47
Italy,Financial and insurance activities,2016,13.99,22.64
Italy,Financial and insurance activities,2017,13.58,22.85
Italy,Financial and insurance activities,2018,13.05,22.94
Italy,Financial and insurance activities,2019,12.84,23.02
Italy,Financial and insurance activities,2020,12.87,23.54
Italy,Financial and insurance activities,2021,12.37,23.76
Italy,Real estate activities,2014,9.86,11.24
Italy,Real estate activities,2015,10.14,11.06
Italy,Real estate activities,2016,10.1,11.26
Italy,Real estate activities,2017,10.19,11.52
Italy,Real estate activities,2018,10.27,11.58
Italy,Real estate activities,2019,10.36,11.68
Italy,Real estate activities,2020,10.45,11.88
Italy,Real estate activities,2021,10.43,11.96
Italy,"Professional, scientific and technical activities",2014,9.38,12.39
Italy,"Professional, scientific and technical activities",2015,9.3,12.38
Italy,"Professional, scientific and technical activities",2016,9.39,12.53
Italy,"Professional, scientific and technical activities",2017,9.55,12.82
Italy,"Professional, scientific and technical activities",2018,9.45,12.95
Italy,"Professional, scientific and technical activities",2019,9.4,13.21
Italy,"Professional, scientific and technical activities",2020,9.64,13.51
Italy,"Professional, scientific and technical activities",2021,9.74,13.77
Italy,Administrative and support service activities,2014,9.86,9.25
Italy,Administrative and support service activities,2015,10.32,9.38
Italy,Administrative and support service activities,2016,10.22,9.49
Italy,Administrative and support service activities,2017,10.22,9.67
Italy,Administrative and support service activities,2018,10.1,9.77
Italy,Administrative and support service activities,2019,10.11,10.01
Italy,Administrative and support service activities,2020,10.15,10.24
Italy,Administrative and support service activities,2021,10.16,10.49
Italy,Education,2014,11.12,10.63
Italy,Education,2015,10.74,10.6
Italy,Education,2016,10.38,10.74
Italy,Education,2017,10.75,11.38
Italy,Education,2018,10.74,11.21
Italy,Education,2019,10.62,11.4
Italy,Education,2020,10.78,11.82
Italy,Education,2021,10.42,11.79
Italy,Human health and social work activities,2014,9.58,10.24
Italy,Human health and social work activities,2015,9.57,10.19
Italy,Human health and social work activities,2016,9.59,10.31
Italy,Human health and social work activities,2017,9.65,10.54
Italy,Human health and social work activities,2018,9.7,10.57
Italy,Human health and social work activities,2019,9.81,10.71
Italy,Human health and social work activities,2020,10.08,10.99
Italy,Human health and social work activities,2021,10.04,11.11
Italy,"Arts, entertainment and recreation",2014,9.95,10.64
Italy,"Arts, entertainment and recreation",2015,10.11,10.64
Italy,"Arts, entertainment and recreation",2016,10.05,10.7
Italy,"Arts, entertainment and recreation",2017,10.1,10.84
Italy,"Arts, entertainment and recreation",2018,10.2,10.91
Italy,"Arts, entertainment and recreation",2019,10.26,11.03
Italy,"Arts, entertainment and recreation",2020,10.22,11.47
Italy,"Arts, entertainment and recreation",2021,10.19,11.48
Italy,Other service activities,2014,8.33,8.03
Italy,Other service activities,2015,8.51,8.17
Italy,Other service activities,2016,8.5,8.27
Italy,Other service activities,2017,8.45,8.37
Italy,Other service activities,2018,8.46,8.36
Italy,Other service activities,2019,8.5,8.41
Italy,Other service activities,2020,8.65,8.62
Italy,Other service activities,2021,8.67,8.71
Nord-ovest,TOTAL,2014,10.16,12.61
Nord-ovest,TOTAL,2015,10.49,12.62
Nord-ovest,TOTAL,2016,10.37,12.73
Nord-ovest,TOTAL,2017,10.37,12.96
Nord-ovest,TOTAL,2018,10.35,13.08
Nord-ovest,TOTAL,2019,10.4,13.08
Nord-ovest,TOTAL,2020,10.53,13.31
Nord-ovest,TOTAL,2021,10.5,13.47
Nord-ovest,TOTAL INDUSTRY (b to f),2014,10.54,13.33
Nord-ovest,TOTAL INDUSTRY (b to f),2015,10.86,13.47
Nord-ovest,TOTAL INDUSTRY (b to f),2016,10.7,13.56
Nord-ovest,TOTAL INDUSTRY (b to f),2017,10.66,13.78
Nord-ovest,TOTAL INDUSTRY (b to f),2018,10.63,13.95
Nord-ovest,TOTAL INDUSTRY (b to f),2019,10.66,13.97
Nord-ovest,TOTAL INDUSTRY (b to f),2020,10.76,14.1
Nord-ovest,TOTAL INDUSTRY (b to f),2021,10.81,14.25
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2014,10.45,13.85
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2015,10.75,13.97
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2016,10.57,14.04
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2017,10.52,14.28
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2018,10.55,14.44
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2019,10.61,14.47
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2020,10.64,14.59
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2021,10.65,14.79
Nord-ovest,Mining and quarrying,2014,13.2,21.56
Nord-ovest,Mining and quarrying,2015,13.84,21.51
Nord-ovest,Mining and quarrying,2016,12.57,21.98
Nord-ovest,Mining and quarrying,2017,12.5,22.07
Nord-ovest,Mining and quarrying,2018,12.36,23.14
Nord-ovest,Mining and quarrying,2019,12.81,23.72
Nord-ovest,Mining and quarrying,2020,12.87,22.91
Nord-ovest,Mining and quarrying,2021,12.64,23.14
Nord-ovest,Manufacturing,2014,10.42,13.65
Nord-ovest,Manufacturing,2015,10.69,13.8
Nord-ovest,Manufacturing,2016,10.53,13.86
Nord-ovest,Manufacturing,2017,10.49,14.1
Nord-ovest,Manufacturing,2018,10.52,14.27
Nord-ovest,Manufacturing,2019,10.57,14.3
Nord-ovest,Manufacturing,2020,10.6,14.43
Nord-ovest,Manufacturing,2021,10.62,14.64
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2014,11.69,20.2
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2015,11.74,20.13
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2016,11.6,20.13
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2017,11.13,20.44
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2018,11.78,20.72
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2019,12.1,20.56
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2020,11.71,20.64
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2021,11.73,20.96
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2014,10.9,15.35
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2015,11.35,15.47
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2016,11.17,15.36
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2017,10.8,15.25
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2018,10.91,15.43
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2019,11.18,15.56
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2020,11.02,15.38
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2021,10.93,15.42
Nord-ovest,Construction,2014,10.66,11.5
Nord-ovest,Construction,2015,11.0,11.78
Nord-ovest,Construction,2016,10.88,11.79
Nord-ovest,Construction,2017,10.88,11.94
Nord-ovest,Construction,2018,10.77,12.07
Nord-ovest,Construction,2019,10.74,12.12
Nord-ovest,Construction,2020,10.91,12.36
Nord-ovest,Construction,2021,11.01,12.46
Nord-ovest,"Services (g to s, except o)",2014,10.1,12.03
Nord-ovest,"Services (g to s, except o)",2015,10.44,11.96
Nord-ovest,"Services (g to s, except o)",2016,10.32,12.12
Nord-ovest,"Services (g to s, except o)",2017,10.33,12.37
Nord-ovest,"Services (g to s, except o)",2018,10.31,12.46
Nord-ovest,"Services (g to s, except o)",2019,10.36,12.49
Nord-ovest,"Services (g to s, except o)",2020,10.5,12.82
Nord-ovest,"Services (g to s, except o)",2021,10.46,12.92
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2014,10.56,12.55
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2015,10.72,12.51
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2016,10.73,12.7
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2017,10.82,12.95
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2018,10.99,13.11
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2019,10.96,13.19
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2020,11.05,13.41
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2021,10.83,13.4
Nord-ovest,Transportation and storage,2014,9.95,13.09
Nord-ovest,Transportation and storage,2015,10.19,13.12
Nord-ovest,Transportation and storage,2016,10.1,13.2
Nord-ovest,Transportation and storage,2017,10.2,13.39
Nord-ovest,Transportation and storage,2018,10.32,13.4
Nord-ovest,Transportation and storage,2019,10.68,13.28
Nord-ovest,Transportation and storage,2020,10.92,13.61
Nord-ovest,Transportation and storage,2021,10.79,13.56
Nord-ovest,Accommodation and food service activities,2014,10.1,10.0
Nord-ovest,Accommodation and food service activities,2015,10.23,9.9
Nord-ovest,Accommodation and food service activities,2016,10.09,9.95
Nord-ovest,Accommodation and food service activities,2017,10.11,10.08
Nord-ovest,Accommodation and food service activities,2018,10.18,10.14
Nord-ovest,Accommodation and food service activities,2019,10.25,10.2
Nord-ovest,Accommodation and food service activities,2020,10.38,10.66
Nord-ovest,Accommodation and food service activities,2021,10.36,10.62
Nord-ovest,Information and communication,2014,13.53,16.63
Nord-ovest,Information and communication,2015,17.73,16.42
Nord-ovest,Information and communication,2016,15.0,16.42
Nord-ovest,Information and communication,2017,15.63,16.72
Nord-ovest,Information and communication,2018,15.75,16.87
Nord-ovest,Information and communication,2019,15.76,16.39
Nord-ovest,Information and communication,2020,16.88,15.44
Nord-ovest,Information and communication,2021,16.37,17.03
Nord-ovest,Financial and insurance activities,2014,13.47,23.12
Nord-ovest,Financial and insurance activities,2015,14.04,23.04
Nord-ovest,Financial and insurance activities,2016,14.35,23.27
Nord-ovest,Financial and insurance activities,2017,14.13,23.42
Nord-ovest,Financial and insurance activities,2018,14.19,23.65
Nord-ovest,Financial and insurance activities,2019,13.19,23.34
Nord-ovest,Financial and insurance activities,2020,13.44,24.27
Nord-ovest,Financial and insurance activities,2021,13.13,24.34
Nord-ovest,Real estate activities,2014,10.15,11.79
Nord-ovest,Real estate activities,2015,10.61,11.49
Nord-ovest,Real estate activities,2016,10.38,11.62
Nord-ovest,Real estate activities,2017,10.32,11.98
Nord-ovest,Real estate activities,2018,10.35,11.99
Nord-ovest,Real estate activities,2019,10.51,12.14
Nord-ovest,Real estate activities,2020,10.77,12.26
Nord-ovest,Real estate activities,2021,10.79,12.38
Nord-ovest,"Professional, scientific and technical activities",2014,9.24,13.68
Nord-ovest,"Professional, scientific and technical activities",2015,9.29,13.62
Nord-ovest,"Professional, scientific and technical activities",2016,8.82,13.66
Nord-ovest,"Professional, scientific and technical activities",2017,9.17,13.91
Nord-ovest,"Professional, scientific and technical activities",2018,9.31,14.09
Nord-ovest,"Professional, scientific and technical activities",2019,9.24,14.43
Nord-ovest,"Professional, scientific and technical activities",2020,9.47,14.86
Nord-ovest,"Professional, scientific and technical activities",2021,9.44,15.16
Nord-ovest,Administrative and support service activities,2014,9.98,9.3
Nord-ovest,Administrative and support service activities,2015,10.46,9.48
Nord-ovest,Administrative and support service activities,2016,10.4,9.62
Nord-ovest,Administrative and support service activities,2017,10.38,9.87
Nord-ovest,Administrative and support service activities,2018,10.22,9.95
Nord-ovest,Administrative and support service activities,2019,10.23,10.19
Nord-ovest,Administrative and support service activities,2020,10.31,10.38
Nord-ovest,Administrative and support service activities,2021,10.28,10.62
Nord-ovest,Education,2014,12.66,12.42
Nord-ovest,Education,2015,13.19,12.19
Nord-ovest,Education,2016,12.17,12.47
Nord-ovest,Education,2017,12.01,12.32
Nord-ovest,Education,2018,12.34,12.58
Nord-ovest,Education,2019,12.39,12.65
Nord-ovest,Education,2020,13.43,12.75
Nord-ovest,Education,2021,12.42,12.75
Nord-ovest,Human health and social work activities,2014,9.67,10.36
Nord-ovest,Human health and social work activities,2015,9.67,10.32
Nord-ovest,Human health and social work activities,2016,9.72,10.46
Nord-ovest,Human health and social work activities,2017,9.8,10.69
Nord-ovest,Human health and social work activities,2018,9.87,10.72
Nord-ovest,Human health and social work activities,2019,9.96,10.86
Nord-ovest,Human health and social work activities,2020,10.19,11.14
Nord-ovest,Human health and social work activities,2021,10.17,11.26
Nord-ovest,"Arts, entertainment and recreation",2014,10.38,11.32
Nord-ovest,"Arts, entertainment and recreation",2015,10.4,10.87
Nord-ovest,"Arts, entertainment and recreation",2016,10.58,10.98
Nord-ovest,"Arts, entertainment and recreation",2017,10.41,11.14
Nord-ovest,"Arts, entertainment and recreation",2018,10.52,11.18
Nord-ovest,"Arts, entertainment and recreation",2019,10.42,11.03
Nord-ovest,"Arts, entertainment and recreation",2020,10.54,11.5
Nord-ovest,"Arts, entertainment and recreation",2021,10.54,11.5
Nord-ovest,Other service activities,2014,8.19,8.24
Nord-ovest,Other service activities,2015,8.45,8.3
Nord-ovest,Other service activities,2016,8.44,8.43
Nord-ovest,Other service activities,2017,8.45,8.51
Nord-ovest,Other service activities,2018,8.5,8.45
Nord-ovest,Other service activities,2019,8.56,8.5
Nord-ovest,Other service activities,2020,8.75,8.76
Nord-ovest,Other service activities,2021,8.75,8.88
Nord-est,TOTAL,2014,10.31,12.22
Nord-est,TOTAL,2015,10.58,12.26
Nord-est,TOTAL,2016,10.53,12.38
Nord-est,TOTAL,2017,10.54,12.6
Nord-est,TOTAL,2018,10.57,12.66
Nord-est,TOTAL,2019,10.68,12.75
Nord-est,TOTAL,2020,10.74,12.96
Nord-est,TOTAL,2021,10.68,13.17
Nord-est,TOTAL INDUSTRY (b to f),2014,10.73,12.96
Nord-est,TOTAL INDUSTRY (b to f),2015,11.12,13.14
Nord-est,TOTAL INDUSTRY (b to f),2016,10.99,13.21
Nord-est,TOTAL INDUSTRY (b to f),2017,10.87,13.42
Nord-est,TOTAL INDUSTRY (b to f),2018,10.86,13.49
Nord-est,TOTAL INDUSTRY (b to f),2019,10.98,13.63
Nord-est,TOTAL INDUSTRY (b to f),2020,11.11,13.77
Nord-est,TOTAL INDUSTRY (b to f),2021,11.06,13.99
Nord-est,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2014,10.8,13.26
Nord-est,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2015,11.22,13.44
Nord-est,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2016,11.09,13.52
Nord-est,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2017,10.9,13.74
Nord-est,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2018,10.88,13.8
Nord-est,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2019,11.06,13.96
Nord-est,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2020,11.26,14.09
Nord-est,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2021,11.14,14.34
Nord-est,Mining and quarrying,2014,14.45,15.64
Nord-est,Mining and quarrying,2015,12.78,15.67
Nord-est,Mining and quarrying,2016,13.03,16.07
Nord-est,Mining and quarrying,2017,13.23,16.11
Nord-est,Mining and quarrying,2018,12.9,16.21
Nord-est,Mining and quarrying,2019,13.23,16.12
Nord-est,Mining and quarrying,2020,13.13,15.94
Nord-est,Mining and quarrying,2021,13.51,16.22
Nord-est,Manufacturing,2014,10.79,13.12
Nord-est,Manufacturing,2015,11.21,13.29
Nord-est,Manufacturing,2016,11.09,13.38
Nord-est,Manufacturing,2017,10.9,13.6
Nord-est,Manufacturing,2018,10.87,13.67
Nord-est,Manufacturing,2019,11.04,13.84
Nord-est,Manufacturing,2020,11.26,13.98
Nord-est,Manufacturing,2021,11.14,14.23
Nord-est,"Electricity, gas, steam and air conditioning supply",2014,11.33,19.6
Nord-est,"Electricity, gas, steam and air conditioning supply",2015,11.81,20.02
Nord-est,"Electricity, gas, steam and air conditioning supply",2016,10.0,19.77
Nord-est,"Electricity, gas, steam and air conditioning supply",2017,10.84,20.03
Nord-est,"Electricity, gas, steam and air conditioning supply",2018,11.65,19.83
Nord-est,"Electricity, gas, steam and air conditioning supply",2019,11.41,20.18
Nord-est,"Electricity, gas, steam and air conditioning supply",2020,11.41,19.98
Nord-est,"Electricity, gas, steam and air conditioning supply",2021,11.59,20.24
Nord-est,"Water supply sewerage, waste management and remediation activities",2014,10.94,15.65
Nord-est,"Water supply sewerage, waste management and remediation activities",2015,11.22,15.78
Nord-est,"Water supply sewerage, waste management and remediation activities",2016,11.38,15.9
Nord-est,"Water supply sewerage, waste management and remediation activities",2017,10.71,15.46
Nord-est,"Water supply sewerage, waste management and remediation activities",2018,10.9,15.53
Nord-est,"Water supply sewerage, waste management and remediation activities",2019,11.07,15.45
Nord-est,"Water supply sewerage, waste management and remediation activities",2020,11.05,15.29
Nord-est,"Water supply sewerage, waste management and remediation activities",2021,11.02,15.57
Nord-est,Construction,2014,10.58,11.69
Nord-est,Construction,2015,10.92,11.92
Nord-est,Construction,2016,10.78,11.88
Nord-est,Construction,2017,10.8,12.04
Nord-est,Construction,2018,10.82,12.19
Nord-est,Construction,2019,10.84,12.26
Nord-est,Construction,2020,10.85,12.41
Nord-est,Construction,2021,10.91,12.53
Nord-est,"Services (g to s, except o)",2014,10.24,11.59
Nord-est,"Services (g to s, except o)",2015,10.5,11.55
Nord-est,"Services (g to s, except o)",2016,10.46,11.71
Nord-est,"Services (g to s, except o)",2017,10.5,11.96
Nord-est,"Services (g to s, except o)",2018,10.53,12.0
Nord-est,"Services (g to s, except o)",2019,10.64,12.1
Nord-est,"Services (g to s, except o)",2020,10.69,12.35
Nord-est,"Services (g to s, except o)",2021,10.63,12.49
Nord-est,Wholesale and retail trade repair of motor vehicles and motorcycles,2014,10.5,12.02
Nord-est,Wholesale and retail trade repair of motor vehicles and motorcycles,2015,10.72,12.01
Nord-est,Wholesale and retail trade repair of motor vehicles and motorcycles,2016,10.73,12.22
Nord-est,Wholesale and retail trade repair of motor vehicles and motorcycles,2017,10.87,12.45
Nord-est,Wholesale and retail trade repair of motor vehicles and motorcycles,2018,11.01,12.6
Nord-est,Wholesale and retail trade repair of motor vehicles and motorcycles,2019,11.09,12.76
