Area,Economic activity,Time period,Hourly wage for temporary employees (€),Hourly wage for permanent employees (€)
Nord-est,Wholesale and retail trade repair of motor vehicles and motorcycles,2020,11.19,12.85
Nord-est,Wholesale and retail trade repair of motor vehicles and motorcycles,2021,11.0,12.9
Nord-est,Transportation and storage,2014,10.46,12.77
Nord-est,Transportation and storage,2015,10.7,12.79
Nord-est,Transportation and storage,2016,10.66,12.97
Nord-est,Transportation and storage,2017,10.65,13.19
Nord-est,Transportation and storage,2018,10.84,13.2
Nord-est,Transportation and storage,2019,11.1,13.13
Nord-est,Transportation and storage,2020,11.09,13.39
Nord-est,Transportation and storage,2021,10.99,13.51
Nord-est,Accommodation and food service activities,2014,10.43,10.11
Nord-est,Accommodation and food service activities,2015,10.6,10.02
Nord-est,Accommodation and food service activities,2016,10.59,10.07
Nord-est,Accommodation and food service activities,2017,10.53,10.18
Nord-est,Accommodation and food service activities,2018,10.61,10.29
Nord-est,Accommodation and food service activities,2019,10.67,10.38
Nord-est,Accommodation and food service activities,2020,10.76,10.74
Nord-est,Accommodation and food service activities,2021,10.73,10.81
Nord-est,Information and communication,2014,11.45,14.56
Nord-est,Information and communication,2015,12.33,14.63
Nord-est,Information and communication,2016,11.9,14.71
Nord-est,Information and communication,2017,12.3,14.88
Nord-est,Information and communication,2018,12.05,14.93
Nord-est,Information and communication,2019,12.07,15.07
Nord-est,Information and communication,2020,13.63,15.1
Nord-est,Information and communication,2021,13.67,15.27
Nord-est,Financial and insurance activities,2014,13.88,22.04
Nord-est,Financial and insurance activities,2015,14.28,21.98
Nord-est,Financial and insurance activities,2016,14.49,22.25
Nord-est,Financial and insurance activities,2017,14.08,22.32
Nord-est,Financial and insurance activities,2018,13.67,22.38
Nord-est,Financial and insurance activities,2019,12.77,22.76
Nord-est,Financial and insurance activities,2020,13.83,22.95
Nord-est,Financial and insurance activities,2021,13.07,23.32
Nord-est,Real estate activities,2014,10.09,11.65
Nord-est,Real estate activities,2015,10.37,11.45
Nord-est,Real estate activities,2016,10.33,11.88
Nord-est,Real estate activities,2017,10.41,11.89
Nord-est,Real estate activities,2018,10.53,12.07
Nord-est,Real estate activities,2019,10.61,12.08
Nord-est,Real estate activities,2020,10.77,12.21
Nord-est,Real estate activities,2021,10.66,12.37
Nord-est,"Professional, scientific and technical activities",2014,10.0,12.32
Nord-est,"Professional, scientific and technical activities",2015,10.21,12.37
Nord-est,"Professional, scientific and technical activities",2016,9.99,12.46
Nord-est,"Professional, scientific and technical activities",2017,10.1,12.82
Nord-est,"Professional, scientific and technical activities",2018,10.07,12.95
Nord-est,"Professional, scientific and technical activities",2019,10.19,13.12
Nord-est,"Professional, scientific and technical activities",2020,10.36,13.29
Nord-est,"Professional, scientific and technical activities",2021,10.34,13.61
Nord-est,Administrative and support service activities,2014,9.9,9.33
Nord-est,Administrative and support service activities,2015,10.38,9.48
Nord-est,Administrative and support service activities,2016,10.28,9.65
Nord-est,Administrative and support service activities,2017,10.36,9.86
Nord-est,Administrative and support service activities,2018,10.24,9.95
Nord-est,Administrative and support service activities,2019,10.37,10.19
Nord-est,Administrative and support service activities,2020,10.37,10.49
Nord-est,Administrative and support service activities,2021,10.36,10.77
Nord-est,Education,2014,11.04,11.6
Nord-est,Education,2015,11.39,11.81
Nord-est,Education,2016,11.46,12.16
Nord-est,Education,2017,11.95,13.08
Nord-est,Education,2018,11.79,12.3
Nord-est,Education,2019,11.85,12.35
Nord-est,Education,2020,12.03,12.56
Nord-est,Education,2021,11.58,12.43
Nord-est,Human health and social work activities,2014,9.7,10.2
Nord-est,Human health and social work activities,2015,9.63,10.16
Nord-est,Human health and social work activities,2016,9.76,10.33
Nord-est,Human health and social work activities,2017,9.77,10.61
Nord-est,Human health and social work activities,2018,9.75,10.61
Nord-est,Human health and social work activities,2019,9.98,10.79
Nord-est,Human health and social work activities,2020,10.14,11.02
Nord-est,Human health and social work activities,2021,10.07,11.1
Nord-est,"Arts, entertainment and recreation",2014,10.29,10.96
Nord-est,"Arts, entertainment and recreation",2015,10.4,10.94
Nord-est,"Arts, entertainment and recreation",2016,10.42,10.95
Nord-est,"Arts, entertainment and recreation",2017,10.45,11.17
Nord-est,"Arts, entertainment and recreation",2018,10.59,11.26
Nord-est,"Arts, entertainment and recreation",2019,10.83,11.45
Nord-est,"Arts, entertainment and recreation",2020,10.72,11.83
Nord-est,"Arts, entertainment and recreation",2021,10.72,11.61
Nord-est,Other service activities,2014,8.61,8.11
Nord-est,Other service activities,2015,8.77,8.3
Nord-est,Other service activities,2016,8.86,8.39
Nord-est,Other service activities,2017,8.66,8.49
Nord-est,Other service activities,2018,8.69,8.48
Nord-est,Other service activities,2019,8.67,8.55
Nord-est,Other service activities,2020,8.81,8.76
Nord-est,Other service activities,2021,8.84,8.85
Centro (I),TOTAL,2014,10.19,11.4
Centro (I),TOTAL,2015,10.52,11.37
Centro (I),TOTAL,2016,10.39,11.44
Centro (I),TOTAL,2017,10.32,11.69
Centro (I),TOTAL,2018,10.37,11.75
Centro (I),TOTAL,2019,10.46,11.86
Centro (I),TOTAL,2020,10.53,12.17
Centro (I),TOTAL,2021,10.58,12.26
Centro (I),TOTAL INDUSTRY (b to f),2014,10.11,11.68
Centro (I),TOTAL INDUSTRY (b to f),2015,10.48,11.83
Centro (I),TOTAL INDUSTRY (b to f),2016,10.36,11.85
Centro (I),TOTAL INDUSTRY (b to f),2017,10.27,12.07
Centro (I),TOTAL INDUSTRY (b to f),2018,10.23,12.09
Centro (I),TOTAL INDUSTRY (b to f),2019,10.3,12.22
Centro (I),TOTAL INDUSTRY (b to f),2020,10.41,12.42
Centro (I),TOTAL INDUSTRY (b to f),2021,10.47,12.52
Centro (I),TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2014,9.92,12.03
Centro (I),TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2015,10.24,12.15
Centro (I),TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2016,10.07,12.17
Centro (I),TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2017,10.02,12.4
Centro (I),TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2018,10.0,12.4
Centro (I),TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2019,10.13,12.55
Centro (I),TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2020,10.21,12.75
Centro (I),TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2021,10.21,12.9
Centro (I),Mining and quarrying,2014,11.94,19.75
Centro (I),Mining and quarrying,2015,12.04,15.64
Centro (I),Mining and quarrying,2016,11.8,16.39
Centro (I),Mining and quarrying,2017,11.42,16.69
Centro (I),Mining and quarrying,2018,11.59,17.46
Centro (I),Mining and quarrying,2019,12.2,18.24
Centro (I),Mining and quarrying,2020,12.2,18.95
Centro (I),Mining and quarrying,2021,13.0,19.11
Centro (I),Manufacturing,2014,9.87,11.63
Centro (I),Manufacturing,2015,10.19,11.78
Centro (I),Manufacturing,2016,10.0,11.8
Centro (I),Manufacturing,2017,9.97,12.01
Centro (I),Manufacturing,2018,9.96,12.01
Centro (I),Manufacturing,2019,10.08,12.18
Centro (I),Manufacturing,2020,10.16,12.37
Centro (I),Manufacturing,2021,10.16,12.54
Centro (I),"Electricity, gas, steam and air conditioning supply",2014,11.35,20.93
Centro (I),"Electricity, gas, steam and air conditioning supply",2015,10.94,20.95
Centro (I),"Electricity, gas, steam and air conditioning supply",2016,10.75,21.0
Centro (I),"Electricity, gas, steam and air conditioning supply",2017,10.53,21.48
Centro (I),"Electricity, gas, steam and air conditioning supply",2018,10.91,21.38
Centro (I),"Electricity, gas, steam and air conditioning supply",2019,10.62,21.25
Centro (I),"Electricity, gas, steam and air conditioning supply",2020,11.05,21.57
Centro (I),"Electricity, gas, steam and air conditioning supply",2021,10.93,21.66
Centro (I),"Water supply sewerage, waste management and remediation activities",2014,10.89,15.35
Centro (I),"Water supply sewerage, waste management and remediation activities",2015,11.16,15.5
Centro (I),"Water supply sewerage, waste management and remediation activities",2016,10.96,15.42
Centro (I),"Water supply sewerage, waste management and remediation activities",2017,10.99,15.36
Centro (I),"Water supply sewerage, waste management and remediation activities",2018,10.82,15.17
Centro (I),"Water supply sewerage, waste management and remediation activities",2019,10.92,15.34
Centro (I),"Water supply sewerage, waste management and remediation activities",2020,10.93,15.31
Centro (I),"Water supply sewerage, waste management and remediation activities",2021,10.87,15.46
Centro (I),Construction,2014,10.41,10.96
Centro (I),Construction,2015,10.84,11.22
Centro (I),Construction,2016,10.81,11.2
Centro (I),Construction,2017,10.7,11.37
Centro (I),Construction,2018,10.63,11.44
Centro (I),Construction,2019,10.56,11.54
Centro (I),Construction,2020,10.71,11.72
Centro (I),Construction,2021,10.83,11.79
Centro (I),"Services (g to s, except o)",2014,10.2,11.25
Centro (I),"Services (g to s, except o)",2015,10.53,11.13
Centro (I),"Services (g to s, except o)",2016,10.4,11.24
Centro (I),"Services (g to s, except o)",2017,10.32,11.5
Centro (I),"Services (g to s, except o)",2018,10.39,11.58
Centro (I),"Services (g to s, except o)",2019,10.49,11.69
Centro (I),"Services (g to s, except o)",2020,10.55,12.04
Centro (I),"Services (g to s, except o)",2021,10.6,12.12
Centro (I),Wholesale and retail trade repair of motor vehicles and motorcycles,2014,10.22,11.44
Centro (I),Wholesale and retail trade repair of motor vehicles and motorcycles,2015,10.39,11.38
Centro (I),Wholesale and retail trade repair of motor vehicles and motorcycles,2016,10.42,11.55
Centro (I),Wholesale and retail trade repair of motor vehicles and motorcycles,2017,10.52,11.8
Centro (I),Wholesale and retail trade repair of motor vehicles and motorcycles,2018,10.68,11.94
Centro (I),Wholesale and retail trade repair of motor vehicles and motorcycles,2019,10.67,12.1
Centro (I),Wholesale and retail trade repair of motor vehicles and motorcycles,2020,10.74,12.26
Centro (I),Wholesale and retail trade repair of motor vehicles and motorcycles,2021,10.56,12.24
Centro (I),Transportation and storage,2014,10.21,13.0
Centro (I),Transportation and storage,2015,10.06,12.83
Centro (I),Transportation and storage,2016,10.01,12.87
Centro (I),Transportation and storage,2017,10.04,13.02
Centro (I),Transportation and storage,2018,10.26,13.15
Centro (I),Transportation and storage,2019,10.42,13.14
Centro (I),Transportation and storage,2020,10.61,13.5
Centro (I),Transportation and storage,2021,10.68,13.44
Centro (I),Accommodation and food service activities,2014,10.09,9.9
Centro (I),Accommodation and food service activities,2015,10.21,9.77
Centro (I),Accommodation and food service activities,2016,10.13,9.86
Centro (I),Accommodation and food service activities,2017,10.12,9.98
Centro (I),Accommodation and food service activities,2018,10.18,10.04
Centro (I),Accommodation and food service activities,2019,10.28,10.15
Centro (I),Accommodation and food service activities,2020,10.43,10.64
Centro (I),Accommodation and food service activities,2021,10.33,10.59
Centro (I),Information and communication,2014,13.16,16.14
Centro (I),Information and communication,2015,14.24,15.86
Centro (I),Information and communication,2016,13.37,15.4
Centro (I),Information and communication,2017,14.68,15.74
Centro (I),Information and communication,2018,14.25,15.6
Centro (I),Information and communication,2019,15.0,15.49
Centro (I),Information and communication,2020,16.02,15.81
Centro (I),Information and communication,2021,15.87,16.11
Centro (I),Financial and insurance activities,2014,13.88,23.06
Centro (I),Financial and insurance activities,2015,14.09,23.07
Centro (I),Financial and insurance activities,2016,14.38,23.07
Centro (I),Financial and insurance activities,2017,14.66,23.54
Centro (I),Financial and insurance activities,2018,13.58,23.49
Centro (I),Financial and insurance activities,2019,14.41,23.53
Centro (I),Financial and insurance activities,2020,14.3,24.13
Centro (I),Financial and insurance activities,2021,13.33,24.57
Centro (I),Real estate activities,2014,9.89,11.22
Centro (I),Real estate activities,2015,10.06,11.04
Centro (I),Real estate activities,2016,10.07,11.23
Centro (I),Real estate activities,2017,10.17,11.59
Centro (I),Real estate activities,2018,10.26,11.59
Centro (I),Real estate activities,2019,10.4,11.7
Centro (I),Real estate activities,2020,10.38,11.94
Centro (I),Real estate activities,2021,10.4,12.04
Centro (I),"Professional, scientific and technical activities",2014,9.8,12.3
Centro (I),"Professional, scientific and technical activities",2015,9.75,12.36
Centro (I),"Professional, scientific and technical activities",2016,10.34,12.62
Centro (I),"Professional, scientific and technical activities",2017,10.0,12.9
Centro (I),"Professional, scientific and technical activities",2018,9.9,13.07
Centro (I),"Professional, scientific and technical activities",2019,9.92,13.27
Centro (I),"Professional, scientific and technical activities",2020,9.98,13.48
Centro (I),"Professional, scientific and technical activities",2021,10.51,13.7
Centro (I),Administrative and support service activities,2014,9.71,9.33
Centro (I),Administrative and support service activities,2015,10.13,9.42
Centro (I),Administrative and support service activities,2016,10.0,9.46
Centro (I),Administrative and support service activities,2017,9.91,9.7
Centro (I),Administrative and support service activities,2018,9.83,9.8
Centro (I),Administrative and support service activities,2019,9.8,9.97
Centro (I),Administrative and support service activities,2020,9.86,10.24
Centro (I),Administrative and support service activities,2021,9.9,10.4
Centro (I),Education,2014,10.45,10.6
Centro (I),Education,2015,10.61,10.42
Centro (I),Education,2016,10.88,10.47
Centro (I),Education,2017,10.61,10.98
Centro (I),Education,2018,10.48,10.94
Centro (I),Education,2019,10.66,11.16
Centro (I),Education,2020,10.85,11.37
Centro (I),Education,2021,10.82,11.35
Centro (I),Human health and social work activities,2014,9.49,10.15
Centro (I),Human health and social work activities,2015,9.52,10.09
Centro (I),Human health and social work activities,2016,9.55,10.18
Centro (I),Human health and social work activities,2017,9.63,10.38
Centro (I),Human health and social work activities,2018,9.59,10.4
Centro (I),Human health and social work activities,2019,9.71,10.54
Centro (I),Human health and social work activities,2020,10.03,10.8
Centro (I),Human health and social work activities,2021,9.98,10.89
Centro (I),"Arts, entertainment and recreation",2014,10.22,10.88
Centro (I),"Arts, entertainment and recreation",2015,10.5,11.11
Centro (I),"Arts, entertainment and recreation",2016,10.3,11.11
Centro (I),"Arts, entertainment and recreation",2017,10.43,11.39
Centro (I),"Arts, entertainment and recreation",2018,10.38,11.39
Centro (I),"Arts, entertainment and recreation",2019,10.5,11.55
Centro (I),"Arts, entertainment and recreation",2020,10.43,12.27
Centro (I),"Arts, entertainment and recreation",2021,10.29,12.28
Centro (I),Other service activities,2014,8.25,7.99
Centro (I),Other service activities,2015,8.51,8.12
Centro (I),Other service activities,2016,8.41,8.22
Centro (I),Other service activities,2017,8.46,8.35
Centro (I),Other service activities,2018,8.49,8.34
Centro (I),Other service activities,2019,8.63,8.4
Centro (I),Other service activities,2020,8.72,8.55
Centro (I),Other service activities,2021,8.64,8.64
Sud,TOTAL,2014,9.41,10.39
Sud,TOTAL,2015,9.63,10.43
Sud,TOTAL,2016,9.57,10.55
Sud,TOTAL,2017,9.62,10.73
Sud,TOTAL,2018,9.63,10.77
Sud,TOTAL,2019,9.67,10.94
Sud,TOTAL,2020,9.76,11.26
Sud,TOTAL,2021,9.83,11.38
Sud,TOTAL INDUSTRY (b to f),2014,9.59,10.96
Sud,TOTAL INDUSTRY (b to f),2015,9.92,11.18
Sud,TOTAL INDUSTRY (b to f),2016,9.81,11.21
Sud,TOTAL INDUSTRY (b to f),2017,9.77,11.39
Sud,TOTAL INDUSTRY (b to f),2018,9.72,11.36
Sud,TOTAL INDUSTRY (b to f),2019,9.78,11.57
Sud,TOTAL INDUSTRY (b to f),2020,9.89,11.87
Sud,TOTAL INDUSTRY (b to f),2021,10.08,11.97
Sud,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2014,9.3,11.39
Sud,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2015,9.56,11.5
Sud,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2016,9.41,11.58
Sud,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2017,9.37,11.81
Sud,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2018,9.43,11.77
Sud,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2019,9.49,12.1
Sud,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2020,9.58,12.38
Sud,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2021,9.73,12.53
Sud,Mining and quarrying,2014,10.7,12.75
Sud,Mining and quarrying,2015,10.95,13.25
Sud,Mining and quarrying,2016,10.6,13.73
Sud,Mining and quarrying,2017,10.71,14.0
Sud,Mining and quarrying,2018,10.85,14.19
Sud,Mining and quarrying,2019,11.31,15.32
Sud,Mining and quarrying,2020,11.66,15.36
Sud,Mining and quarrying,2021,11.12,14.86
Sud,Manufacturing,2014,9.23,10.95
Sud,Manufacturing,2015,9.48,11.07
Sud,Manufacturing,2016,9.35,11.16
Sud,Manufacturing,2017,9.31,11.29
Sud,Manufacturing,2018,9.3,11.27
Sud,Manufacturing,2019,9.44,11.59
Sud,Manufacturing,2020,9.55,11.91
Sud,Manufacturing,2021,9.71,12.08
Sud,"Electricity, gas, steam and air conditioning supply",2014,9.07,20.25
Sud,"Electricity, gas, steam and air conditioning supply",2015,9.23,20.06
Sud,"Electricity, gas, steam and air conditioning supply",2016,9.15,20.21
Sud,"Electricity, gas, steam and air conditioning supply",2017,9.16,20.52
Sud,"Electricity, gas, steam and air conditioning supply",2018,9.46,20.21
Sud,"Electricity, gas, steam and air conditioning supply",2019,9.55,20.65
Sud,"Electricity, gas, steam and air conditioning supply",2020,9.71,20.51
Sud,"Electricity, gas, steam and air conditioning supply",2021,9.79,20.71
Sud,"Water supply sewerage, waste management and remediation activities",2014,10.59,14.56
Sud,"Water supply sewerage, waste management and remediation activities",2015,10.91,14.47
Sud,"Water supply sewerage, waste management and remediation activities",2016,10.63,14.38
Sud,"Water supply sewerage, waste management and remediation activities",2017,10.34,14.79
Sud,"Water supply sewerage, waste management and remediation activities",2018,9.98,14.76
Sud,"Water supply sewerage, waste management and remediation activities",2019,10.13,14.93
Sud,"Water supply sewerage, waste management and remediation activities",2020,9.88,14.86
Sud,"Water supply sewerage, waste management and remediation activities",2021,9.79,14.87
Sud,Construction,2014,10.1,10.53
Sud,Construction,2015,10.57,10.88
Sud,Construction,2016,10.49,10.82
Sud,Construction,2017,10.41,10.96
Sud,Construction,2018,10.25,10.89
Sud,Construction,2019,10.28,10.97
Sud,Construction,2020,10.36,11.21
Sud,Construction,2021,10.55,11.3
Sud,"Services (g to s, except o)",2014,9.36,10.11
Sud,"Services (g to s, except o)",2015,9.55,10.09
Sud,"Services (g to s, except o)",2016,9.51,10.25
Sud,"Services (g to s, except o)",2017,9.58,10.43
Sud,"Services (g to s, except o)",2018,9.61,10.51
Sud,"Services (g to s, except o)",2019,9.64,10.65
Sud,"Services (g to s, except o)",2020,9.73,10.98
Sud,"Services (g to s, except o)",2021,9.76,11.1
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2014,9.01,10.19
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2015,9.15,10.18
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2016,9.2,10.4
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2017,9.38,10.61
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2018,9.46,10.72
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2019,9.56,10.81
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2020,9.55,11.01
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2021,9.61,11.06
Sud,Transportation and storage,2014,10.26,12.24
Sud,Transportation and storage,2015,10.32,11.93
Sud,Transportation and storage,2016,10.39,12.04
Sud,Transportation and storage,2017,10.31,12.06
Sud,Transportation and storage,2018,10.59,12.16
Sud,Transportation and storage,2019,10.66,12.25
Sud,Transportation and storage,2020,10.82,12.68
Sud,Transportation and storage,2021,10.65,12.62
Sud,Accommodation and food service activities,2014,9.46,9.18
Sud,Accommodation and food service activities,2015,9.59,9.2
Sud,Accommodation and food service activities,2016,9.52,9.28
Sud,Accommodation and food service activities,2017,9.54,9.37
Sud,Accommodation and food service activities,2018,9.55,9.44
Sud,Accommodation and food service activities,2019,9.64,9.57
Sud,Accommodation and food service activities,2020,9.76,10.03
Sud,Accommodation and food service activities,2021,9.72,10.11
Sud,Information and communication,2014,9.99,12.81
Sud,Information and communication,2015,10.73,12.32
Sud,Information and communication,2016,10.95,12.39
Sud,Information and communication,2017,10.75,12.58
Sud,Information and communication,2018,10.95,12.7
Sud,Information and communication,2019,10.58,12.92
Sud,Information and communication,2020,11.19,12.99
Sud,Information and communication,2021,12.45,13.1
Sud,Financial and insurance activities,2014,9.89,21.25
Sud,Financial and insurance activities,2015,10.76,21.04
Sud,Financial and insurance activities,2016,10.19,21.22
Sud,Financial and insurance activities,2017,10.07,21.36
Sud,Financial and insurance activities,2018,10.7,21.35
Sud,Financial and insurance activities,2019,10.58,21.62
Sud,Financial and insurance activities,2020,10.38,21.59
Sud,Financial and insurance activities,2021,10.08,22.23
Sud,Real estate activities,2014,8.93,10.12
Sud,Real estate activities,2015,9.27,9.96
Sud,Real estate activities,2016,9.44,10.18
Sud,Real estate activities,2017,9.69,10.42
Sud,Real estate activities,2018,9.55,10.47
Sud,Real estate activities,2019,9.64,10.57
Sud,Real estate activities,2020,9.69,10.81
Sud,Real estate activities,2021,9.7,10.81
Sud,"Professional, scientific and technical activities",2014,8.43,10.08
Sud,"Professional, scientific and technical activities",2015,8.08,10.11
Sud,"Professional, scientific and technical activities",2016,8.96,10.36
Sud,"Professional, scientific and technical activities",2017,9.18,10.61
Sud,"Professional, scientific and technical activities",2018,8.44,10.64
Sud,"Professional, scientific and technical activities",2019,8.68,10.81
Sud,"Professional, scientific and technical activities",2020,9.07,11.19
Sud,"Professional, scientific and technical activities",2021,9.04,11.1
Sud,Administrative and support service activities,2014,9.64,9.06
Sud,Administrative and support service activities,2015,10.06,9.13
Sud,Administrative and support service activities,2016,9.87,9.26
Sud,Administrative and support service activities,2017,9.95,9.3
Sud,Administrative and support service activities,2018,9.87,9.4
Sud,Administrative and support service activities,2019,9.76,9.68
Sud,Administrative and support service activities,2020,9.69,9.85
Sud,Administrative and support service activities,2021,9.82,10.18
Sud,Education,2014,9.85,9.3
Sud,Education,2015,9.56,9.33
Sud,Education,2016,9.27,9.25
Sud,Education,2017,9.55,9.5
Sud,Education,2018,9.61,9.57
Sud,Education,2019,9.4,9.77
Sud,Education,2020,9.71,10.1
Sud,Education,2021,9.61,10.16
Sud,Human health and social work activities,2014,9.52,10.32
Sud,Human health and social work activities,2015,9.52,10.2
Sud,Human health and social work activities,2016,9.43,10.26
Sud,Human health and social work activities,2017,9.48,10.53
Sud,Human health and social work activities,2018,9.59,10.57
Sud,Human health and social work activities,2019,9.62,10.68
Sud,Human health and social work activities,2020,10.0,11.04
Sud,Human health and social work activities,2021,9.93,11.2
Sud,"Arts, entertainment and recreation",2014,9.17,9.49
Sud,"Arts, entertainment and recreation",2015,9.43,9.67
Sud,"Arts, entertainment and recreation",2016,9.29,9.79
Sud,"Arts, entertainment and recreation",2017,9.32,9.9
Sud,"Arts, entertainment and recreation",2018,9.42,10.0
Sud,"Arts, entertainment and recreation",2019,9.44,10.11
Sud,"Arts, entertainment and recreation",2020,9.44,10.44
Sud,"Arts, entertainment and recreation",2021,9.57,10.53
Sud,Other service activities,2014,8.23,7.81
Sud,Other service activities,2015,8.22,7.96
Sud,Other service activities,2016,8.21,8.05
Sud,Other service activities,2017,8.13,8.17
Sud,Other service activities,2018,8.08,8.18
Sud,Other service activities,2019,8.06,8.24
Sud,Other service activities,2020,8.31,8.45
Sud,Other service activities,2021,8.34,8.53
