Area,Economic activity,Time period,Hourly wage by age (15-29) (â‚¬),Satisfaction (%): very much,Satisfaction (%): quite,Satisfaction (%): not much,Satisfaction (%): not at all
Italy,TOTAL,2014,10.53,18.2,52.1,19.0,4.3
Italy,TOTAL,2014,11.41,18.2,52.1,19.0,4.3
Italy,TOTAL,2014,13.83,18.2,52.1,19.0,4.3
Italy,TOTAL,2014,11.06,18.2,52.1,19.0,4.3
Italy,TOTAL,2015,10.7,19.9,55.2,18.5,2.2
Italy,TOTAL,2015,11.53,19.9,55.2,18.5,2.2
Italy,TOTAL,2015,13.77,19.9,55.2,18.5,2.2
Italy,TOTAL,2015,9.72,19.9,55.2,18.5,2.2
Italy,TOTAL,2015,11.21,19.9,55.2,18.5,2.2
Italy,TOTAL,2016,10.69,17.3,53.2,18.3,2.5
Italy,TOTAL,2016,11.53,17.3,53.2,18.3,2.5
Italy,TOTAL,2016,13.8,17.3,53.2,18.3,2.5
Italy,TOTAL,2016,11.21,17.3,53.2,18.3,2.5
Italy,TOTAL,2017,10.73,16.9,57.1,16.2,3.5
Italy,TOTAL,2017,11.54,16.9,57.1,16.2,3.5
Italy,TOTAL,2017,13.85,16.9,57.1,16.2,3.5
Italy,TOTAL,2017,11.25,16.9,57.1,16.2,3.5
Italy,TOTAL,2018,10.74,17.7,59.2,15.5,4.6
Italy,TOTAL,2018,11.56,17.7,59.2,15.5,4.6
Italy,TOTAL,2018,13.86,17.7,59.2,15.5,4.6
Italy,TOTAL,2018,11.27,17.7,59.2,15.5,4.6
Italy,TOTAL,2019,10.85,20.6,55.1,13.4,4.1
Italy,TOTAL,2019,11.69,20.6,55.1,13.4,4.1
Italy,TOTAL,2019,14.11,20.6,55.1,13.4,4.1
Italy,TOTAL,2019,11.4,20.6,55.1,13.4,4.1
Italy,TOTAL,2020,11.11,21.4,58.4,13.9,2.9
Italy,TOTAL,2020,11.95,21.4,58.4,13.9,2.9
Italy,TOTAL,2020,14.57,21.4,58.4,13.9,2.9
Italy,TOTAL,2020,11.7,21.4,58.4,13.9,2.9
Italy,TOTAL,2021,11.12,19.9,58.5,13.9,2.7
Italy,TOTAL,2021,11.91,19.9,58.5,13.9,2.7
Italy,TOTAL,2021,14.75,19.9,58.5,13.9,2.7
Italy,TOTAL,2021,11.69,19.9,58.5,13.9,2.7
