FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,MEASURE,Misura,PURCHASES_DWELLINGS,Abitazioni compravendute,Tempo (TIME_PERIOD),Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2014,104,,
A,Annuale,IT,Italia,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2015,100,,
A,Annuale,IT,Italia,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2016,100.3,,
A,Annuale,IT,Italia,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2017,99.2,,
A,Annuale,IT,Italia,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2018,98.6,,
A,Annuale,IT,Italia,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2019,98.5,,
A,Annuale,IT,Italia,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2020,100.4,,
A,Annuale,IT,Italia,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2021,103,,
A,Annuale,IT,Italia,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2022,106.9,,
A,Annuale,ITC,Nord-ovest,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2014,104.3,,
A,Annuale,ITC,Nord-ovest,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2015,100,,
A,Annuale,ITC,Nord-ovest,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2016,100.2,,
A,Annuale,ITC,Nord-ovest,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2017,99.5,,
A,Annuale,ITC,Nord-ovest,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2018,99.4,,
A,Annuale,ITC,Nord-ovest,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2019,100.4,,
A,Annuale,ITC,Nord-ovest,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2020,103.4,,
A,Annuale,ITC,Nord-ovest,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2021,106,,
A,Annuale,ITC,Nord-ovest,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2022,110.6,,
A,Annuale,ITD,Nord-est,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2014,103.9,,
A,Annuale,ITD,Nord-est,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2015,100,,
A,Annuale,ITD,Nord-est,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2016,99.1,,
A,Annuale,ITD,Nord-est,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2017,97.9,,
A,Annuale,ITD,Nord-est,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2018,98.5,,
A,Annuale,ITD,Nord-est,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2019,99.3,,
A,Annuale,ITD,Nord-est,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2020,101.6,,
A,Annuale,ITD,Nord-est,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2021,104.6,,
A,Annuale,ITD,Nord-est,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2022,109.5,,
A,Annuale,ITE,Centro,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2014,104.9,,
A,Annuale,ITE,Centro,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2015,100,,
A,Annuale,ITE,Centro,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2016,100.6,,
A,Annuale,ITE,Centro,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2017,98.9,,
A,Annuale,ITE,Centro,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2018,97.1,,
A,Annuale,ITE,Centro,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2019,95.2,,
A,Annuale,ITE,Centro,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2020,95.5,,
A,Annuale,ITE,Centro,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2021,98.4,,
A,Annuale,ITE,Centro,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2022,101.4,,
A,Annuale,ITFG,Mezzogiorno,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2014,102.3,,
A,Annuale,ITFG,Mezzogiorno,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2015,100,,
A,Annuale,ITFG,Mezzogiorno,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2016,101,,
A,Annuale,ITFG,Mezzogiorno,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2017,100.3,,
A,Annuale,ITFG,Mezzogiorno,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2018,99.4,,
A,Annuale,ITFG,Mezzogiorno,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2019,98.6,,
A,Annuale,ITFG,Mezzogiorno,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2020,100.1,,
A,Annuale,ITFG,Mezzogiorno,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2021,101.3,,
A,Annuale,ITFG,Mezzogiorno,60,Indice dei prezzi delle abitazioni (base 2015=100) - medie annue,4,Numeri indici,ALL,H1 - tutte le voci,2022,103.9,,
